wbid,term,found
WBGene00009626,reproductive system WBbt:0005747,1.0
WBGene00017968,reproductive system WBbt:0005747,1.0
WBGene00011747,reproductive system WBbt:0005747,1.0
WBGene00002043,reproductive system WBbt:0005747,1.0
WBGene00010051,reproductive system WBbt:0005747,1.0
WBGene00013419,reproductive system WBbt:0005747,1.0
WBGene00007013,reproductive system WBbt:0005747,1.0
WBGene00017474,reproductive system WBbt:0005747,1.0
WBGene00001713,reproductive system WBbt:0005747,1.0
WBGene00011036,reproductive system WBbt:0005747,1.0
WBGene00016652,reproductive system WBbt:0005747,1.0
WBGene00003868,reproductive system WBbt:0005747,1.0
WBGene00007649,reproductive system WBbt:0005747,1.0
WBGene00013688,reproductive system WBbt:0005747,1.0
WBGene00000417,reproductive system WBbt:0005747,1.0
WBGene00015143,reproductive system WBbt:0005747,1.0
WBGene00017620,reproductive system WBbt:0005747,1.0
WBGene00044067,reproductive system WBbt:0005747,1.0
WBGene00019726,reproductive system WBbt:0005747,1.0
WBGene00003524,reproductive system WBbt:0005747,1.0
WBGene00017573,reproductive system WBbt:0005747,1.0
WBGene00009287,reproductive system WBbt:0005747,1.0
WBGene00021922,reproductive system WBbt:0005747,1.0
WBGene00012543,reproductive system WBbt:0005747,1.0
WBGene00011664,reproductive system WBbt:0005747,1.0
WBGene00004163,reproductive system WBbt:0005747,1.0
WBGene00009006,reproductive system WBbt:0005747,1.0
WBGene00016154,reproductive system WBbt:0005747,1.0
WBGene00011350,reproductive system WBbt:0005747,1.0
WBGene00008645,reproductive system WBbt:0005747,1.0
WBGene00013881,reproductive system WBbt:0005747,1.0
WBGene00020219,reproductive system WBbt:0005747,1.0
WBGene00020189,reproductive system WBbt:0005747,1.0
WBGene00020439,reproductive system WBbt:0005747,1.0
WBGene00007580,reproductive system WBbt:0005747,1.0
WBGene00003919,reproductive system WBbt:0005747,1.0
WBGene00013405,reproductive system WBbt:0005747,1.0
WBGene00003785,reproductive system WBbt:0005747,1.0
WBGene00003183,reproductive system WBbt:0005747,1.0
WBGene00015312,reproductive system WBbt:0005747,1.0
WBGene00000469,reproductive system WBbt:0005747,1.0
WBGene00006379,reproductive system WBbt:0005747,1.0
WBGene00016955,reproductive system WBbt:0005747,1.0
WBGene00007464,reproductive system WBbt:0005747,1.0
WBGene00004132,reproductive system WBbt:0005747,1.0
WBGene00011560,reproductive system WBbt:0005747,1.0
WBGene00012236,reproductive system WBbt:0005747,1.0
WBGene00008202,reproductive system WBbt:0005747,1.0
WBGene00008802,reproductive system WBbt:0005747,1.0
WBGene00010502,reproductive system WBbt:0005747,1.0
WBGene00021658,reproductive system WBbt:0005747,1.0
WBGene00001029,reproductive system WBbt:0005747,1.0
WBGene00004704,reproductive system WBbt:0005747,1.0
WBGene00045192,reproductive system WBbt:0005747,1.0
WBGene00003150,reproductive system WBbt:0005747,1.0
WBGene00002073,reproductive system WBbt:0005747,1.0
WBGene00020096,reproductive system WBbt:0005747,1.0
WBGene00014250,reproductive system WBbt:0005747,1.0
WBGene00006591,reproductive system WBbt:0005747,1.0
WBGene00009372,reproductive system WBbt:0005747,1.0
WBGene00001051,reproductive system WBbt:0005747,1.0
WBGene00006440,reproductive system WBbt:0005747,1.0
WBGene00010227,reproductive system WBbt:0005747,1.0
WBGene00011835,reproductive system WBbt:0005747,1.0
WBGene00007892,reproductive system WBbt:0005747,1.0
WBGene00020461,reproductive system WBbt:0005747,1.0
WBGene00022420,reproductive system WBbt:0005747,1.0
WBGene00019153,reproductive system WBbt:0005747,1.0
WBGene00000754,reproductive system WBbt:0005747,1.0
WBGene00017397,reproductive system WBbt:0005747,1.0
WBGene00044689,reproductive system WBbt:0005747,1.0
WBGene00019124,reproductive system WBbt:0005747,1.0
WBGene00001563,reproductive system WBbt:0005747,1.0
WBGene00001175,reproductive system WBbt:0005747,1.0
WBGene00016803,reproductive system WBbt:0005747,1.0
WBGene00022310,reproductive system WBbt:0005747,1.0
WBGene00006944,reproductive system WBbt:0005747,1.0
WBGene00015134,reproductive system WBbt:0005747,1.0
WBGene00010363,reproductive system WBbt:0005747,1.0
WBGene00013180,reproductive system WBbt:0005747,1.0
WBGene00001998,reproductive system WBbt:0005747,1.0
WBGene00013137,reproductive system WBbt:0005747,1.0
WBGene00010093,reproductive system WBbt:0005747,1.0
WBGene00001832,reproductive system WBbt:0005747,1.0
WBGene00016291,reproductive system WBbt:0005747,1.0
WBGene00016353,reproductive system WBbt:0005747,1.0
WBGene00000875,reproductive system WBbt:0005747,1.0
WBGene00007333,reproductive system WBbt:0005747,1.0
WBGene00022172,reproductive system WBbt:0005747,1.0
WBGene00004888,reproductive system WBbt:0005747,1.0
WBGene00013669,reproductive system WBbt:0005747,1.0
WBGene00004050,reproductive system WBbt:0005747,1.0
WBGene00008035,reproductive system WBbt:0005747,1.0
WBGene00015578,reproductive system WBbt:0005747,1.0
WBGene00011636,reproductive system WBbt:0005747,1.0
WBGene00020945,reproductive system WBbt:0005747,1.0
WBGene00000935,reproductive system WBbt:0005747,1.0
WBGene00003668,reproductive system WBbt:0005747,1.0
WBGene00015150,reproductive system WBbt:0005747,1.0
WBGene00006700,reproductive system WBbt:0005747,1.0
WBGene00011409,reproductive system WBbt:0005747,1.0
WBGene00016816,reproductive system WBbt:0005747,1.0
WBGene00021750,reproductive system WBbt:0005747,1.0
WBGene00000703,reproductive system WBbt:0005747,1.0
WBGene00021732,reproductive system WBbt:0005747,1.0
WBGene00021467,reproductive system WBbt:0005747,1.0
WBGene00007168,reproductive system WBbt:0005747,1.0
WBGene00010234,reproductive system WBbt:0005747,1.0
WBGene00011908,reproductive system WBbt:0005747,1.0
WBGene00019960,reproductive system WBbt:0005747,1.0
WBGene00008440,reproductive system WBbt:0005747,1.0
WBGene00016799,reproductive system WBbt:0005747,1.0
WBGene00003185,reproductive system WBbt:0005747,1.0
WBGene00016409,reproductive system WBbt:0005747,1.0
WBGene00012512,reproductive system WBbt:0005747,1.0
WBGene00001031,reproductive system WBbt:0005747,1.0
WBGene00018307,reproductive system WBbt:0005747,1.0
WBGene00077732,reproductive system WBbt:0005747,1.0
WBGene00003405,reproductive system WBbt:0005747,1.0
WBGene00010840,reproductive system WBbt:0005747,1.0
WBGene00008684,reproductive system WBbt:0005747,1.0
WBGene00010910,reproductive system WBbt:0005747,1.0
WBGene00005040,reproductive system WBbt:0005747,1.0
WBGene00011576,reproductive system WBbt:0005747,1.0
WBGene00002241,reproductive system WBbt:0005747,1.0
WBGene00015237,reproductive system WBbt:0005747,1.0
WBGene00018513,reproductive system WBbt:0005747,1.0
WBGene00000413,reproductive system WBbt:0005747,1.0
WBGene00021470,reproductive system WBbt:0005747,1.0
WBGene00006310,reproductive system WBbt:0005747,1.0
WBGene00015976,reproductive system WBbt:0005747,1.0
WBGene00015677,reproductive system WBbt:0005747,1.0
WBGene00011741,reproductive system WBbt:0005747,1.0
WBGene00001653,reproductive system WBbt:0005747,1.0
WBGene00007905,reproductive system WBbt:0005747,1.0
WBGene00008082,reproductive system WBbt:0005747,1.0
WBGene00010807,reproductive system WBbt:0005747,1.0
WBGene00007985,reproductive system WBbt:0005747,1.0
WBGene00002297,reproductive system WBbt:0005747,1.0
WBGene00014115,reproductive system WBbt:0005747,1.0
WBGene00009924,reproductive system WBbt:0005747,1.0
WBGene00007907,reproductive system WBbt:0005747,1.0
WBGene00019510,reproductive system WBbt:0005747,1.0
WBGene00018268,reproductive system WBbt:0005747,1.0
WBGene00015182,reproductive system WBbt:0005747,1.0
WBGene00010260,reproductive system WBbt:0005747,1.0
WBGene00001778,reproductive system WBbt:0005747,1.0
WBGene00009065,reproductive system WBbt:0005747,1.0
WBGene00003553,reproductive system WBbt:0005747,1.0
WBGene00007196,reproductive system WBbt:0005747,1.0
WBGene00012167,reproductive system WBbt:0005747,1.0
WBGene00004027,reproductive system WBbt:0005747,1.0
WBGene00022253,reproductive system WBbt:0005747,1.0
WBGene00008061,reproductive system WBbt:0005747,1.0
WBGene00020964,reproductive system WBbt:0005747,1.0
WBGene00013030,reproductive system WBbt:0005747,1.0
WBGene00018578,reproductive system WBbt:0005747,1.0
WBGene00044916,reproductive system WBbt:0005747,1.0
WBGene00001734,reproductive system WBbt:0005747,1.0
WBGene00000171,reproductive system WBbt:0005747,1.0
WBGene00017025,reproductive system WBbt:0005747,1.0
WBGene00007705,reproductive system WBbt:0005747,1.0
WBGene00009364,reproductive system WBbt:0005747,1.0
WBGene00020803,reproductive system WBbt:0005747,1.0
WBGene00001036,reproductive system WBbt:0005747,1.0
WBGene00016277,reproductive system WBbt:0005747,1.0
WBGene00011460,reproductive system WBbt:0005747,1.0
WBGene00012484,reproductive system WBbt:0005747,1.0
WBGene00006988,reproductive system WBbt:0005747,1.0
WBGene00016066,reproductive system WBbt:0005747,1.0
WBGene00009163,reproductive system WBbt:0005747,1.0
WBGene00011368,reproductive system WBbt:0005747,1.0
WBGene00012020,reproductive system WBbt:0005747,1.0
WBGene00021781,reproductive system WBbt:0005747,1.0
WBGene00000797,reproductive system WBbt:0005747,1.0
WBGene00004110,reproductive system WBbt:0005747,1.0
WBGene00002133,reproductive system WBbt:0005747,1.0
WBGene00010053,reproductive system WBbt:0005747,1.0
WBGene00010609,reproductive system WBbt:0005747,1.0
WBGene00004334,reproductive system WBbt:0005747,1.0
WBGene00015451,reproductive system WBbt:0005747,1.0
WBGene00000868,reproductive system WBbt:0005747,1.0
WBGene00017328,reproductive system WBbt:0005747,1.0
WBGene00022232,reproductive system WBbt:0005747,1.0
WBGene00015635,reproductive system WBbt:0005747,1.0
WBGene00004244,reproductive system WBbt:0005747,1.0
WBGene00016796,reproductive system WBbt:0005747,1.0
WBGene00016263,reproductive system WBbt:0005747,1.0
WBGene00011202,reproductive system WBbt:0005747,1.0
WBGene00003026,reproductive system WBbt:0005747,1.0
WBGene00007492,reproductive system WBbt:0005747,1.0
WBGene00011945,reproductive system WBbt:0005747,1.0
WBGene00012698,reproductive system WBbt:0005747,1.0
WBGene00011834,reproductive system WBbt:0005747,1.0
WBGene00021689,reproductive system WBbt:0005747,1.0
WBGene00000770,reproductive system WBbt:0005747,1.0
WBGene00018321,reproductive system WBbt:0005747,1.0
WBGene00009159,reproductive system WBbt:0005747,1.0
WBGene00013443,reproductive system WBbt:0005747,1.0
WBGene00017985,reproductive system WBbt:0005747,1.0
WBGene00010617,reproductive system WBbt:0005747,1.0
WBGene00004874,reproductive system WBbt:0005747,1.0
WBGene00003981,reproductive system WBbt:0005747,1.0
WBGene00018680,reproductive system WBbt:0005747,1.0
WBGene00006795,reproductive system WBbt:0005747,1.0
WBGene00007092,reproductive system WBbt:0005747,1.0
WBGene00019712,reproductive system WBbt:0005747,1.0
WBGene00000980,reproductive system WBbt:0005747,1.0
WBGene00020558,reproductive system WBbt:0005747,1.0
WBGene00003164,reproductive system WBbt:0005747,1.0
WBGene00014124,reproductive system WBbt:0005747,1.0
WBGene00016836,reproductive system WBbt:0005747,1.0
WBGene00044556,reproductive system WBbt:0005747,1.0
WBGene00086546,reproductive system WBbt:0005747,1.0
WBGene00017584,reproductive system WBbt:0005747,1.0
WBGene00012000,reproductive system WBbt:0005747,1.0
WBGene00010677,reproductive system WBbt:0005747,1.0
WBGene00000597,reproductive system WBbt:0005747,1.0
WBGene00016115,reproductive system WBbt:0005747,1.0
WBGene00010815,reproductive system WBbt:0005747,1.0
WBGene00003155,reproductive system WBbt:0005747,1.0
WBGene00017243,reproductive system WBbt:0005747,1.0
WBGene00010409,reproductive system WBbt:0005747,1.0
WBGene00019163,reproductive system WBbt:0005747,1.0
WBGene00019380,reproductive system WBbt:0005747,1.0
WBGene00012716,reproductive system WBbt:0005747,1.0
WBGene00018585,reproductive system WBbt:0005747,1.0
WBGene00001595,reproductive system WBbt:0005747,1.0
WBGene00003161,reproductive system WBbt:0005747,1.0
WBGene00017837,reproductive system WBbt:0005747,1.0
WBGene00010613,reproductive system WBbt:0005747,1.0
WBGene00016992,reproductive system WBbt:0005747,1.0
WBGene00020375,reproductive system WBbt:0005747,1.0
WBGene00003598,reproductive system WBbt:0005747,1.0
WBGene00007445,reproductive system WBbt:0005747,1.0
WBGene00022034,reproductive system WBbt:0005747,1.0
WBGene00012104,reproductive system WBbt:0005747,1.0
WBGene00008580,reproductive system WBbt:0005747,1.0
WBGene00007515,reproductive system WBbt:0005747,1.0
WBGene00018830,reproductive system WBbt:0005747,1.0
WBGene00016674,reproductive system WBbt:0005747,1.0
WBGene00001161,reproductive system WBbt:0005747,1.0
WBGene00007221,reproductive system WBbt:0005747,1.0
WBGene00000608,reproductive system WBbt:0005747,1.0
WBGene00008080,reproductive system WBbt:0005747,1.0
WBGene00004371,reproductive system WBbt:0005747,1.0
WBGene00022835,reproductive system WBbt:0005747,1.0
WBGene00018335,reproductive system WBbt:0005747,1.0
WBGene00013038,reproductive system WBbt:0005747,1.0
WBGene00003528,reproductive system WBbt:0005747,1.0
WBGene00013127,reproductive system WBbt:0005747,1.0
WBGene00017015,reproductive system WBbt:0005747,1.0
WBGene00005643,reproductive system WBbt:0005747,1.0
WBGene00003783,reproductive system WBbt:0005747,1.0
WBGene00018950,reproductive system WBbt:0005747,1.0
WBGene00001695,reproductive system WBbt:0005747,1.0
WBGene00003021,reproductive system WBbt:0005747,1.0
WBGene00008219,reproductive system WBbt:0005747,1.0
WBGene00002180,reproductive system WBbt:0005747,1.0
WBGene00007186,reproductive system WBbt:0005747,1.0
WBGene00013549,reproductive system WBbt:0005747,1.0
WBGene00004384,reproductive system WBbt:0005747,1.0
WBGene00021945,reproductive system WBbt:0005747,1.0
WBGene00022488,reproductive system WBbt:0005747,1.0
WBGene00009132,reproductive system WBbt:0005747,1.0
WBGene00020091,reproductive system WBbt:0005747,1.0
WBGene00017784,reproductive system WBbt:0005747,1.0
WBGene00006483,reproductive system WBbt:0005747,1.0
WBGene00009921,reproductive system WBbt:0005747,1.0
WBGene00013719,reproductive system WBbt:0005747,1.0
WBGene00017923,reproductive system WBbt:0005747,1.0
WBGene00002850,reproductive system WBbt:0005747,1.0
WBGene00015780,reproductive system WBbt:0005747,1.0
WBGene00004702,reproductive system WBbt:0005747,1.0
WBGene00000496,reproductive system WBbt:0005747,1.0
WBGene00009627,reproductive system WBbt:0005747,1.0
WBGene00015146,reproductive system WBbt:0005747,1.0
WBGene00011534,reproductive system WBbt:0005747,1.0
WBGene00003229,reproductive system WBbt:0005747,1.0
WBGene00021012,reproductive system WBbt:0005747,1.0
WBGene00013122,reproductive system WBbt:0005747,1.0
WBGene00004823,reproductive system WBbt:0005747,1.0
WBGene00012650,reproductive system WBbt:0005747,1.0
WBGene00012360,reproductive system WBbt:0005747,1.0
WBGene00008642,reproductive system WBbt:0005747,1.0
WBGene00001061,reproductive system WBbt:0005747,1.0
WBGene00019842,reproductive system WBbt:0005747,1.0
WBGene00020933,reproductive system WBbt:0005747,1.0
WBGene00007846,reproductive system WBbt:0005747,1.0
WBGene00013465,reproductive system WBbt:0005747,1.0
WBGene00015249,reproductive system WBbt:0005747,1.0
WBGene00003154,Z4.a WBbt:0007025,1.0
WBGene00013857,Z4.a WBbt:0007025,1.0
WBGene00018806,Z4.a WBbt:0007025,1.0
WBGene00003252,Z4.a WBbt:0007025,1.0
WBGene00023451,Z4.a WBbt:0007025,1.0
WBGene00010839,Z4.a WBbt:0007025,1.0
WBGene00008641,Z4.a WBbt:0007025,1.0
WBGene00011746,Z4.a WBbt:0007025,1.0
WBGene00016074,Z4.a WBbt:0007025,1.0
WBGene00001413,Z4.a WBbt:0007025,1.0
WBGene00018845,Z4.a WBbt:0007025,1.0
WBGene00016970,Z4.a WBbt:0007025,1.0
WBGene00015189,Z4.a WBbt:0007025,1.0
WBGene00015497,Z4.a WBbt:0007025,1.0
WBGene00017583,Z4.a WBbt:0007025,1.0
WBGene00000227,Z4.a WBbt:0007025,1.0
WBGene00012164,Z4.a WBbt:0007025,1.0
WBGene00015073,Z4.a WBbt:0007025,1.0
WBGene00006387,Z4.a WBbt:0007025,1.0
WBGene00008503,Z4.a WBbt:0007025,1.0
WBGene00000657,Z4.a WBbt:0007025,1.0
WBGene00022805,Z4.a WBbt:0007025,1.0
WBGene00009626,Z4.a WBbt:0007025,1.0
WBGene00017474,Z4.a WBbt:0007025,1.0
WBGene00000417,Z4.a WBbt:0007025,1.0
WBGene00009287,Z4.a WBbt:0007025,1.0
WBGene00013405,Z4.a WBbt:0007025,1.0
WBGene00000469,Z4.a WBbt:0007025,1.0
WBGene00006379,Z4.a WBbt:0007025,1.0
WBGene00012236,Z4.a WBbt:0007025,1.0
WBGene00006440,Z4.a WBbt:0007025,1.0
WBGene00000754,Z4.a WBbt:0007025,1.0
WBGene00001998,Z4.a WBbt:0007025,1.0
WBGene00013669,Z4.a WBbt:0007025,1.0
WBGene00007168,Z4.a WBbt:0007025,1.0
WBGene00019960,Z4.a WBbt:0007025,1.0
WBGene00003405,Z4.a WBbt:0007025,1.0
WBGene00011576,Z4.a WBbt:0007025,1.0
WBGene00000413,Z4.a WBbt:0007025,1.0
WBGene00008082,Z4.a WBbt:0007025,1.0
WBGene00002297,Z4.a WBbt:0007025,1.0
WBGene00008061,Z4.a WBbt:0007025,1.0
