TXNAME	GENEID
fre-1	fre-1
frh-1	frh-1
frk-1	frk-1
frm-1	frm-1
frm-2	frm-2
frm-3	frm-3
frm-4	frm-4
frm-7	frm-7
frm-8	frm-8
frm-10	frm-10
fars-1	fars-1
fars-3	fars-3
fsn-1	fsn-1
fum-1	fum-1
fut-1	fut-1
fut-8	fut-8
fzo-1	fzo-1
fzr-1	fzr-1
fzy-1	fzy-1
gab-1	gab-1
gad-1	gad-1
xnd-1	xnd-1
gap-1	gap-1
gap-2	gap-2
gar-1	gar-1
gar-2	gar-2
gar-3	gar-3
gbh-1	gbh-1
gbh-2	gbh-2
gck-1	gck-1
gcs-1	gcs-1
gcy-9	gcy-9
gcy-11	gcy-11
gcy-12	gcy-12
gcy-22	gcy-22
gcy-25	gcy-25
gcy-31	gcy-31
gcy-33	gcy-33
gcy-35	gcy-35
gcy-36	gcy-36
gcy-37	gcy-37
gdi-1	gdi-1
gei-1	gei-1
gei-3	gei-3
gei-4	gei-4
lin-66	lin-66
gei-6	gei-6
icl-1	icl-1
acdh-13	acdh-13
snpc-4	snpc-4
gei-13	gei-13
gei-14	gei-14
gei-15	gei-15
ges-1	ges-1
gex-2	gex-2
gex-3	gex-3
gfi-2	gfi-2
gfi-3	gfi-3
gfl-1	gfl-1
ggr-1	ggr-1
ggr-2	ggr-2
ggr-3	ggr-3
gip-1	gip-1
glc-2	glc-2
glc-3	glc-3
glc-4	glc-4
gld-1	gld-1
gld-2	gld-2
gld-3	gld-3
gln-1	gln-1
gln-3	gln-3
R07B1.8	R07B1.8
glr-1	glr-1
glr-2	glr-2
glr-3	glr-3
glr-4	glr-4
glr-5	glr-5
glr-6	glr-6
glr-7	glr-7
glr-8	glr-8
glt-1	glt-1
glt-3	glt-3
glt-4	glt-4
glt-5	glt-5
glt-6	glt-6
glt-7	glt-7
gly-1	gly-1
gly-4	gly-4
gly-5	gly-5
gly-6	gly-6
gly-7	gly-7
gly-8	gly-8
gly-10	gly-10
gly-11	gly-11
gly-12	gly-12
gly-15	gly-15
gly-20	gly-20
gna-1	gna-1
goa-1	goa-1
gob-1	gob-1
gon-1	gon-1
gon-2	gon-2
gon-4	gon-4
gop-1	gop-1
gop-2	gop-2
gop-3	gop-3
gpa-1	gpa-1
gpa-2	gpa-2
gpa-3	gpa-3
gpa-4	gpa-4
gpa-5	gpa-5
gpa-6	gpa-6
gpa-7	gpa-7
gpa-8	gpa-8
gpa-10	gpa-10
gpa-11	gpa-11
gpa-12	gpa-12
gpa-13	gpa-13
gpa-14	gpa-14
gpa-15	gpa-15
gpa-16	gpa-16
gpb-1	gpb-1
gpb-2	gpb-2
gpn-1	gpn-1
grd-6	grd-6
grd-12	grd-12
grd-16	grd-16
grh-1	grh-1
grk-1	grk-1
grk-2	grk-2
grl-1	grl-1
grl-2	grl-2
grl-3	grl-3
grl-4	grl-4
grl-5	grl-5
grl-6	grl-6
grl-7	grl-7
grl-8	grl-8
grl-9	grl-9
grl-10	grl-10
grl-11	grl-11
grl-12	grl-12
grl-13	grl-13
grl-14	grl-14
grl-15	grl-15
grl-16	grl-16
grl-17	grl-17
grl-18	grl-18
grl-19	grl-19
grl-20	grl-20
grl-21	grl-21
grl-22	grl-22
grl-24	grl-24
grl-25	grl-25
grl-26	grl-26
gro-1	gro-1
grp-1	grp-1
gars-1	gars-1
gsa-1	gsa-1
gsk-3	gsk-3
gst-1	gst-1
gst-3	gst-3
gst-6	gst-6
gst-11	gst-11
gst-13	gst-13
gst-30	gst-30
gst-36	gst-36
gst-40	gst-40
gst-42	gst-42
gsy-1	gsy-1
gta-1	gta-1
gtl-1	gtl-1
gtl-2	gtl-2
lite-1	lite-1
gur-3	gur-3
gur-4	gur-4
gut-2	gut-2
haf-1	haf-1
haf-2	haf-2
haf-3	haf-3
haf-4	haf-4
hmt-1	hmt-1
haf-6	haf-6
ham-1	ham-1
ham-2	ham-2
hap-1	hap-1
hbl-1	hbl-1
hcf-1	hcf-1
hch-1	hch-1
hcp-4	hcp-4
hcp-6	hcp-6
hda-2	hda-2
hda-3	hda-3
hda-4	hda-4
hda-10	hda-10
hdl-1	hdl-1
hel-1	hel-1
hen-1	hen-1
hgo-1	hgo-1
hid-1	hid-1
hif-1	hif-1
hil-1	hil-1
him-1	him-1
him-3	him-3
him-4	him-4
him-6	him-6
him-14	him-14
him-17	him-17
C50F4.6	C50F4.6
hlh-1	hlh-1
hlh-2	hlh-2
hlh-3	hlh-3
hlh-4	hlh-4
hlh-6	hlh-6
hlh-8	hlh-8
hlh-10	hlh-10
hlh-11	hlh-11
hlh-12	hlh-12
hlh-13	hlh-13
hlh-14	hlh-14
hlh-15	hlh-15
hlh-16	hlh-16
hlh-19	hlh-19
hmg-1.1	hmg-1.1
hmg-1.2	hmg-1.2
hmg-5	hmg-5
hmg-11	hmg-11
hmp-1	hmp-1
hmp-2	hmp-2
hnd-1	hnd-1
hoe-1	hoe-1
hog-1	hog-1
hop-1	hop-1
hot-1	hot-1
hot-2	hot-2
hot-3	hot-3
hot-4	hot-4
hot-5	hot-5
hot-6	hot-6
hot-7	hot-7
hpd-1	hpd-1
hpk-1	hpk-1
hpl-1	hpl-1
hpr-9	hpr-9
hpr-17	hpr-17
hrp-1	hrp-1
hrp-2	hrp-2
hars-1	hars-1
hsb-1	hsb-1
hse-5	hse-5
hsf-1	hsf-1
hsp-6	hsp-6
hsp-12.2	hsp-12.2
hsp-17	hsp-17
hsp-25	hsp-25
hsp-43	hsp-43
hsp-60	hsp-60
hsr-9	hsr-9
hst-1	hst-1
hst-2	hst-2
hst-3.1	hst-3.1
hst-6	hst-6
htp-3	htp-3
hum-1	hum-1
hum-2	hum-2
hum-4	hum-4
hum-5	hum-5
hum-6	hum-6
hum-7	hum-7
hus-1	hus-1
hyl-1	hyl-1
hyl-2	hyl-2
icd-1	icd-1
icln-1	icln-1
ida-1	ida-1
ifa-1	ifa-1
ifa-4	ifa-4
ifb-1	ifb-1
ifc-1	ifc-1
ifc-2	ifc-2
ife-2	ife-2
ife-3	ife-3
ife-4	ife-4
ifg-1	ifg-1
ify-1	ify-1
ikb-1	ikb-1
ile-1	ile-1
ile-2	ile-2
ima-1	ima-1
ima-2	ima-2
ima-3	ima-3
imb-1	imb-1
imb-2	imb-2
imb-3	imb-3
xpo-1	xpo-1
xpo-2	xpo-2
xpo-3	xpo-3
ina-1	ina-1
ins-1	ins-1
ins-3	ins-3
ins-10	ins-10
ins-11	ins-11
ins-17	ins-17
ins-18	ins-18
ins-36	ins-36
inx-1	inx-1
inx-2	inx-2
inx-3	inx-3
inx-5	inx-5
inx-6	inx-6
inx-10	inx-10
inx-11	inx-11
inx-12	inx-12
inx-13	inx-13
inx-14	inx-14
inx-15	inx-15
inx-16	inx-16
inx-17	inx-17
inx-18	inx-18
inx-20	inx-20
inx-21	inx-21
inx-22	inx-22
ipp-5	ipp-5
ire-1	ire-1
gon-14	gon-14
irk-1	irk-1
irk-2	irk-2
irk-3	irk-3
iars-1	iars-1
iars-2	iars-2
isp-1	isp-1
ist-1	ist-1
itr-1	itr-1
itx-1	itx-1
jac-1	jac-1
jip-1	jip-1
jkk-1	jkk-1
jnk-1	jnk-1
jph-1	jph-1
jtr-1	jtr-1
kal-1	kal-1
kap-1	kap-1
kat-1	kat-1
kel-1	kel-1
kel-3	kel-3
kin-1	kin-1
kin-2	kin-2
kin-3	kin-3
kin-4	kin-4
kin-5	kin-5
kin-9	kin-9
kin-10	kin-10
kin-14	kin-14
kin-18	kin-18
kin-19	kin-19
kin-20	kin-20
kin-24	kin-24
sid-3	sid-3
kin-26	kin-26
kin-29	kin-29
kin-32	kin-32
klp-3	klp-3
klp-4	klp-4
klp-6	klp-6
gcc-1	gcc-1
klp-11	klp-11
klp-12	klp-12
klp-13	klp-13
klp-20	klp-20
kqt-1	kqt-1
kqt-2	kqt-2
kqt-3	kqt-3
kars-1	kars-1
ksr-1	ksr-1
ksr-2	ksr-2
kup-1	kup-1
kvs-1	kvs-1
lad-2	lad-2
laf-1	laf-1
lag-1	lag-1
lag-2	lag-2
lam-1	lam-1
lam-3	lam-3
lap-1	lap-1
lap-2	lap-2
lat-1	lat-1
lat-2	lat-2
lbp-3	lbp-3
lbp-4	lbp-4
lbp-7	lbp-7
ldb-1	ldb-1
ldh-1	ldh-1
lea-1	lea-1
lec-1	lec-1
lec-3	lec-3
lec-4	lec-4
lec-5	lec-5
lec-6	lec-6
lec-8	lec-8
lec-9	lec-9
lec-10	lec-10
lec-11	lec-11
lem-2	lem-2
lem-3	lem-3
lep-2	lep-2
let-2	let-2
let-4	let-4
let-19	let-19
ect-2	ect-2
let-23	let-23
let-49	let-49
let-60	let-60
let-70	let-70
let-92	let-92
let-99	let-99
lpr-1	lpr-1
let-268	let-268
let-363	let-363
let-381	let-381
let-413	let-413
let-502	let-502
let-504	let-504
let-526	let-526
let-607	let-607
let-630	let-630
let-653	let-653
let-711	let-711
let-716	let-716
let-721	let-721
let-754	let-754
let-756	let-756
let-765	let-765
let-805	let-805
let-858	let-858
lev-1	lev-1
lev-8	lev-8
lev-9	lev-9
lev-11	lev-11
lfe-2	lfe-2
lgg-1	lgg-1
lgg-2	lgg-2
lgg-3	lgg-3
lig-1	lig-1
lig-4	lig-4
lim-4	lim-4
lim-6	lim-6
lim-7	lim-7
lin-2	lin-2
lin-3	lin-3
lin-7	lin-7
lin-9	lin-9
lin-10	lin-10
lin-11	lin-11
lin-13	lin-13
lin-14	lin-14
lin-17	lin-17
lin-18	lin-18
lin-22	lin-22
lin-23	lin-23
lin-24	lin-24
lin-25	lin-25
lin-26	lin-26
lin-28	lin-28
lin-29	lin-29
lin-31	lin-31
lin-32	lin-32
lin-33	lin-33
lin-35	lin-35
lin-36	lin-36
lin-37	lin-37
lin-39	lin-39
lin-40	lin-40
lin-41	lin-41
lin-44	lin-44
lin-45	lin-45
lin-46	lin-46
lin-48	lin-48
lin-49	lin-49
lin-52	lin-52
lin-53	lin-53
lin-54	lin-54
lin-59	lin-59
lip-1	lip-1
lir-1	lir-1
lir-2	lir-2
lir-3	lir-3
lis-1	lis-1
lit-1	lit-1
lmn-1	lmn-1
lmp-1	lmp-1
