	gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	int_term_x_neg_one	neg.log.p.adj	is.sig	int_term_abs	int.direction
1	col-81	5841.39956445998	9.8754481776968	0.901193063447485	132.957329360347	1.34487761541036E-29	1.44009495058142E-27	-9.8754481776968	26.8416088723811	TRUE	9.8754481776968	negative
2	col-139	6004.64701825385	9.41938502178766	1.00344712459238	102.918774880088	4.48200144965898E-23	2.22191071865501E-21	-9.41938502178766	20.6532733959687	TRUE	9.41938502178766	negative
3	col-129	7211.92118474032	9.14614462624245	0.933896379719199	107.722934677277	4.05753194406129E-24	2.31106659877703E-22	-9.14614462624245	21.6361875391316	TRUE	9.14614462624245	negative
4	col-19	9495.40772263881	8.8811710866006	0.789190249313668	100.683128481677	1.37068114858452E-22	6.46575054583392E-21	-8.8811710866006	20.1893810548525	TRUE	8.8811710866006	negative
5	T06E4.7	17.3025720861938	8.63550141093277	1.89918835639166	19.4219434488565	6.06147845951282E-05	0.000183610498853	-8.63550141093277	3.73610248945524	TRUE	8.63550141093277	negative
6	col-8	3503.14254095046	8.41752836892288	0.867666230467482	83.1300844026505	8.8824246469504E-19	2.65678779663533E-17	-8.41752836892288	16.5756431322403	TRUE	8.41752836892288	negative
7	F36F12.3	18.8575980720484	6.69840594894656	1.12852352255134	57.7927170711316	2.82144079124556E-13	4.16143085298311E-12	-6.69840594894656	11.3807573172793	TRUE	6.69840594894656	negative
8	C17G10.10	9.87821515178432	6.5334503111891	1.10635092770855	51.6025213744873	6.23239337698056E-12	7.63575151953179E-11	-6.5334503111891	10.1171482127367	TRUE	6.5334503111891	negative
9	F13E9.4	6.45684082328994	5.93147369920588	1.16958030197349	42.3447675923101	6.3819081377024E-10	5.44521691940377E-09	-5.93147369920588	8.26398481471012	TRUE	5.93147369920588	negative
10	lips-17	104.870654187589	5.76040047100537	0.572209976455016	98.3050687825425	4.50117131261158E-22	1.97535009899364E-20	-5.76040047100537	19.7043559215128	TRUE	5.76040047100537	negative
11	col-106	3464.59767082679	5.68685632169615	0.872438216147493	40.5848907897645	1.53851927180897E-09	1.23035581497613E-08	-5.68685632169615	7.90996927381752	TRUE	5.68685632169615	negative
12	col-181	6324.61718421745	5.57951495562792	0.830124046690883	41.1328220324734	1.16982576709748E-09	9.55491557138049E-09	-5.57951495562792	8.01977314608103	TRUE	5.57951495562792	negative
13	W02H3.1	28.9506964470991	5.42164204831925	0.655750832637949	92.4925261355441	8.23195790636143E-21	3.18223123687069E-19	-5.42164204831925	18.4972682655291	TRUE	5.42164204831925	negative
14	R05H10.7	15.9067723912562	5.39415493292403	1.28203340890546	20.3603263542551	3.79150215616532E-05	0.000121700854581	-5.39415493292403	3.91470637215194	TRUE	5.39415493292403	negative
15	W03G11.2	14.5020504010896	5.34339780219247	0.745719810047699	64.0939256757898	1.20831697790706E-14	2.2424017676653E-13	-5.34339780219247	12.6492865728972	TRUE	5.34339780219247	negative
16	vap-2	65.344554764627	5.32880523904825	0.593997985118175	85.1075857203863	3.30462798829255E-19	1.04076342643049E-17	-5.32880523904825	16.9826479777632	TRUE	5.32880523904825	negative
17	ZC328.5	20.9788451308336	5.11357932331922	0.936854169396509	35.3851440052702	2.07115980225481E-08	1.3352184926276E-07	-5.11357932331922	6.87444766135689	TRUE	5.11357932331922	negative
18	ZK1290.1	51.7748008465142	5.102188531995	0.692748070576015	58.9481985802195	1.583293100449E-13	2.44998591323814E-12	-5.102188531995	11.6108364127051	TRUE	5.102188531995	negative
19	F01F1.14	3.66543397627832	5.05539605737021	1.56857126218462	10.7627348466618	0.004601525392778	0.008612678536247	-5.05539605737021	2.0648617622973	TRUE	5.05539605737021	negative
20	C14F11.4	277.114842734814	5.03993811941836	0.730779614155932	44.1198602478673	2.62720568981416E-10	2.42100847904734E-09	-5.03993811941836	8.61600368953513	TRUE	5.03993811941836	negative
21	col-184	4680.04696462997	5.00968584797635	0.814667137981195	35.7512361692436	1.72471644856879E-08	1.12817738126296E-07	-5.00968584797635	6.94762261165827	TRUE	5.00968584797635	negative
22	pes-23	45.3244575433272	5.00338854692792	0.772314077006292	43.7769192203182	3.11862225631976E-10	2.8469059778919E-09	-5.00338854692792	8.54562687565494	TRUE	5.00338854692792	negative
23	F14B8.4	18.3963795554868	4.96049288421318	0.928269995997651	30.8338034107015	2.01615845455008E-07	1.07837286370241E-06	-4.96049288421318	5.96723104930707	TRUE	4.96049288421318	negative
24	srd-55	1.48161277219437	4.92845444854982	1.86739538743425	7.46586953936841	0.02392252561208	0.037098103440138	-4.92845444854982	1.43064829217839	TRUE	4.92845444854982	negative
25	K11D12.6	35.9986914228517	4.91849681179637	0.594457967057988	67.9664743323746	1.74288054268308E-15	3.61681489361443E-14	-4.91849681179637	13.441673717597	TRUE	4.91849681179637	negative
26	F55B11.2	409.680685487284	4.91552996076352	1.20507412179537	19.4762301349734	5.89916253421582E-05	0.000179200659337	-4.91552996076352	3.74666039676154	TRUE	4.91552996076352	negative
27	T25E4.1	29.8836780732907	4.91013966519817	1.84232635581896	11.8108819242568	0.002724580079171	0.005404743143342	-4.91013966519817	2.26722494076338	TRUE	4.91013966519817	negative
28	F23F12.12	50.179321429816	4.71446034041482	1.02039025419897	44.5399680441522	2.12945676622943E-10	1.99844198534485E-09	-4.71446034041482	8.69930845476455	TRUE	4.71446034041482	negative
29	ZK1290.11	39.9793619574902	4.55461561496862	0.828320012761495	32.8919119334242	7.20463650098776E-08	4.17689483771396E-07	-4.55461561496862	6.37914645889228	TRUE	4.55461561496862	negative
