baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
2L52.1	139.315668595538	1.4674179719364	0.158470344677213	9.2598900754925	2.04642784026274e-20	5.13188508513663e-19
4R79.2	24.1313762898686	-1.5011765492358	0.391762496815958	-3.83185363947949	0.000127181395998913	0.000397043261911474
aagr-1	662.650768375568	-1.07806926539824	0.215478957058268	-5.00313014373237	5.64068321658225e-07	2.74173562792386e-06
aagr-2	2336.12822723247	-0.500723531321935	0.148447619747782	-3.37306540968917	0.000743362913604161	0.00196009112998605
aagr-3	3420.41241682019	-0.558884531127115	0.140061560938647	-3.99027775630695	6.59959635576996e-05	0.000217843642964195
aagr-4	2673.81333410698	0.544629963907214	0.216880971138058	2.51119294168286	0.0120323912819513	0.0237498333358774
aak-1	464.188188863902	-1.45051817509875	0.266868923237	-5.43532067167888	5.46979721782256e-08	3.13379286294511e-07
aak-2	708.64482214263	0.885399183456308	0.13052670178636	6.78328013608656	1.17477524103887e-11	1.13226762205618e-10
aakb-1	226.900150002241	0.451397776314477	0.141319875893565	3.19415633123289	0.00140240151149006	0.00348420310557669
aakb-2	527.267030538121	2.14144478687904	0.152257358775438	14.064639004	6.26416938197894e-45	1.17678466214439e-42
aakg-1	647.422767374124	0.49494989782858	0.193601857832944	2.55653485647677	0.010572047862394	0.0212393036605093
aakg-2	244.232203013879	0.586181233909518	0.131289108592835	4.46481235337986	8.01389565439259e-06	3.18296716124762e-05
aakg-3	57.5615052466699	1.11117571679486	0.242555493427417	4.58111956605664	4.62493315201371e-06	1.92250715030135e-05
aakg-4	151.481836268757	1.79836773019419	0.255954164338707	7.02613194374282	2.12337677402592e-12	2.26917350262171e-11
aakg-5	417.503926441436	-0.522604552852996	0.176496746401615	-2.96098689357038	0.00306654988492457	0.00703139532500477
aap-1	579.913976443698	0.17114086763418	0.138279683140466	1.23764289697087	0.215848501131958	0.292718560045721
aars-1	303.041494696966	-1.1819657018731	0.112120184473982	-10.541952882243	5.5337665443244e-26	2.30566428625003e-24
aars-2	2783.07964230508	0.146808723979849	0.160257878289042	0.916078045879682	0.359625961694128	0.448140905134496
aass-1	2302.52402238521	0.36320206965445	0.223682445591029	1.62373971142337	0.104431371850316	0.156793484264328
aat-2	487.252686651052	-2.88683305550041	0.291785292287159	-9.89368940727606	4.4337964827256e-23	1.4518988604595e-21
aat-5	139.607939961774	-0.764141887218401	0.249141540882391	-3.06709946688144	0.00216146919051842	0.00513420853861384
aat-6	182.076840915202	-0.011860874711804	0.25173240351088	-0.0471169962483251	0.962419981334136	0.978781760862943
aat-7	35.605591167748	1.70974571678946	0.319805459572269	5.34620553093807	8.98172143196934e-08	4.97549265874432e-07
aat-8	20.0293378380195	0.964057769462975	0.341590409257897	2.82226240355337	0.00476861420142753	0.0103933077282487
aatf-1	279.510170692133	-0.622675096945926	0.142187802463522	-4.37924411347219	1.19091668618662e-05	4.5904736773529e-05
abce-1	1456.78873038825	-0.684495182393235	0.108563544481821	-6.30501873958116	2.88159030218631e-10	2.31826213041405e-09
abcf-1	1446.92643462492	-0.899299022286803	0.109164638273446	-8.23800670721005	1.75103371827247e-16	3.04384237910091e-15
abcf-2	3466.15908644899	-1.06691260873996	0.131315148324979	-8.12482506663712	4.48008082804006e-16	7.50746565049342e-15
abcf-3	1387.92646407564	-0.581142388533813	0.109461496166553	-5.30910328184777	1.10165895928708e-07	6.00969565943542e-07
abch-1	45.5130671825053	-0.337310032193979	0.443241399461133	-0.761007506528182	0.446652583684301	0.533908893289963
abcx-1	76.6169093554289	-0.627783740866491	0.347140242801376	-1.80844414868285	0.0705374019783899	0.111650332651086
abf-5	16.9905258142653	0.562924157172523	0.559228726087675	1.00660808522963	0.314123147529631	0.399479895641486
abf-6	60.2238666035342	-0.4534540472611	0.573127116031623	-0.791192799253421	0.428831492817683	0.516811638219893
abhd-11.1	77.9091391803314	-0.294680367366417	1.39589156475057	-0.211105486133569	0.832804959386324	0.875913515873565
abhd-11.2	230.966523838973	-0.574039987554181	0.116002957087173	-4.94849443469624	7.47897283954134e-07	3.56090890021382e-06
abhd-12	676.692068748117	-0.507757120525312	0.151593396975287	-3.34946726345929	0.00080967122978458	0.00211875843805799
abhd-14	97.8322758237161	-0.405253621298552	0.224566968473175	-1.80460031167478	0.0711372492792874	0.112516641843812
abi-1	694.365331857768	-0.248289434576252	0.213718222667828	-1.16176071219793	0.245332676789426	0.325690838465308
abl-1	515.460675079201	-0.286616115482571	0.182843836243806	-1.56754595271341	0.116987133923721	0.172785962766235
abt-1	248.272311989884	4.74024855108454	0.523668763603724	9.0519979050567	1.4037599769112e-19	3.24653603299463e-18
abt-2	378.841430480154	0.447185095807605	0.210188099168182	2.12754717121158	0.0333746463186645	0.0579872972221742
abt-4	823.76644734973	-0.888936523190362	0.214034952196356	-4.15323064793104	3.27814023458836e-05	0.000115202906570306
abtm-1	659.889069035849	0.69482453342683	0.0970916823817992	7.15637546267384	8.28380651724993e-13	9.32733966211485e-12
abts-1	1778.28993864988	-0.197836012404918	0.225848971057564	-0.87596596733883	0.381048535359556	0.470076925879046
abts-2	46.2474089902741	-1.41337552378482	0.37227140827548	-3.79662658040856	0.000146678482064237	0.000452241055555385
abts-3	273.012938593302	-0.0121694292604722	0.198911000775317	-0.0611802726497686	0.951215640442833	0.970365921340826
abts-4	229.744678667533	-2.13008411827482	0.231384018867601	-9.20583940368703	3.39011061689822e-20	8.34512746798763e-19
abu-10	48.4794494447081	-2.22873367451278	0.888734971431238	-2.50775962031018	0.012149928972014	0.0239421125197508
